NUTS_ID,COASTAL CATEGORY,COASTAL LABEL,,,COASTAL REGIONS,
DE126,0,non-coastal,,,,
DE127,0,non-coastal,,,,
DE128,0,non-coastal,,,,
DE129,0,non-coastal,,,,
DE12A,0,non-coastal,,,,
DE12B,0,non-coastal,,,,
DE12C,0,non-coastal,,,,
DE131,0,non-coastal,,,,
DE132,0,non-coastal,,,,
DE133,0,non-coastal,,,,
DE134,0,non-coastal,,,,
DE135,0,non-coastal,,,,
DE136,0,non-coastal,,,,
DE137,0,non-coastal,,,,
DE138,0,non-coastal,,,,
DE139,0,non-coastal,,,,
DE13A,0,non-coastal,,,,
DE141,0,non-coastal,,,,
DE142,0,non-coastal,,,,
DE143,0,non-coastal,,,,
DE144,0,non-coastal,,,,
DE145,0,non-coastal,,,,
DE146,0,non-coastal,,,,
DE147,0,non-coastal,,,,
DE148,0,non-coastal,,,,
DE149,0,non-coastal,,,,
DE211,0,non-coastal,,,,
DE212,0,non-coastal,,,,
DE213,0,non-coastal,,,,
DE214,0,non-coastal,,,,
DE215,0,non-coastal,,,,
DE216,0,non-coastal,,,,
DE217,0,non-coastal,,,,
DE218,0,non-coastal,,,,
DE219,0,non-coastal,,,,
DE21A,0,non-coastal,,,,
DE21B,0,non-coastal,,,,
DE21C,0,non-coastal,,,,
DE21D,0,non-coastal,,,,
DE21E,0,non-coastal,,,,
DE21F,0,non-coastal,,,,
DE21G,0,non-coastal,,,,
DE21H,0,non-coastal,,,,
DE21I,0,non-coastal,,,,
DE21J,0,non-coastal,,,,
DE21K,0,non-coastal,,,,
DE21L,0,non-coastal,,,,
DE21M,0,non-coastal,,,,
DE21N,0,non-coastal,,,,
DE221,0,non-coastal,,,,
DE222,0,non-coastal,,,,
DE223,0,non-coastal,,,,
DE224,0,non-coastal,,,,
DE225,0,non-coastal,,,,
DE226,0,non-coastal,,,,
DE227,0,non-coastal,,,,
DE228,0,non-coastal,,,,
DE229,0,non-coastal,,,,
DE22A,0,non-coastal,,,,
DE22B,0,non-coastal,,,,
DE22C,0,non-coastal,,,,
DE231,0,non-coastal,,,,
DE232,0,non-coastal,,,,
DE233,0,non-coastal,,,,
DE234,0,non-coastal,,,,
DE235,0,non-coastal,,,,
DE236,0,non-coastal,,,,
DE237,0,non-coastal,,,,
DE238,0,non-coastal,,,,
DE239,0,non-coastal,,,,
DE23A,0,non-coastal,,,,
DE241,0,non-coastal,,,,
DE242,0,non-coastal,,,,
DE243,0,non-coastal,,,,
DE244,0,non-coastal,,,,
DE245,0,non-coastal,,,,
DE246,0,non-coastal,,,,
DE247,0,non-coastal,,,,
DE248,0,non-coastal,,,,
DE249,0,non-coastal,,,,
DE24A,0,non-coastal,,,,
DE24B,0,non-coastal,,,,
DE24C,0,non-coastal,,,,
DE24D,0,non-coastal,,,,
DE251,0,non-coastal,,,,
DE252,0,non-coastal,,,,
DE253,0,non-coastal,,,,
DE254,0,non-coastal,,,,
DE255,0,non-coastal,,,,
DE256,0,non-coastal,,,,
DE257,0,non-coastal,,,,
DE258,0,non-coastal,,,,
DE259,0,non-coastal,,,,
DE25A,0,non-coastal,,,,
DE25B,0,non-coastal,,,,
DE25C,0,non-coastal,,,,
DE261,0,non-coastal,,,,
DE262,0,non-coastal,,,,
DE263,0,non-coastal,,,,
DE264,0,non-coastal,,,,
DE265,0,non-coastal,,,,
DE266,0,non-coastal,,,,
DE267,0,non-coastal,,,,
DE268,0,non-coastal,,,,
DE269,0,non-coastal,,,,
DE26A,0,non-coastal,,,,
DE26B,0,non-coastal,,,,
DE26C,0,non-coastal,,,,
DE271,0,non-coastal,,,,
DE272,0,non-coastal,,,,
DE273,0,non-coastal,,,,
DE274,0,non-coastal,,,,
DE275,0,non-coastal,,,,
DE276,0,non-coastal,,,,
DE277,0,non-coastal,,,,
DE278,0,non-coastal,,,,
