NUTS_ID,COASTAL CATEGORY,COASTAL LABEL,,,COASTAL REGIONS,
FRK14,0,non-coastal,,,,
FRK21,0,non-coastal,,,,
FRK22,0,non-coastal,,,,
FRK23,0,non-coastal,,,,
FRK24,0,non-coastal,,,,
FRK25,0,non-coastal,,,,
FRK26,0,non-coastal,,,,
FRK27,0,non-coastal,,,,
FRK28,0,non-coastal,,,,
FRL01,0,non-coastal,,,,
FRL02,0,non-coastal,,,,
FRL03,1,coastal (on coast),,,,
FRL04,1,coastal (on coast),,,,
FRL05,1,coastal (on coast),,,,
FRL06,0,non-coastal,,,,
FRM01,1,coastal (on coast),,,,
FRM02,1,coastal (on coast),,,,
FRY10,1,coastal (on coast),,,,
FRY20,1,coastal (on coast),,,,
FRY30,1,coastal (on coast),,,,
FRY40,1,coastal (on coast),,,,
FRY50,1,coastal (on coast),,,,
HR021,0,non-coastal,,,,
HR022,0,non-coastal,,,,
HR023,0,non-coastal,,,,
HR024,0,non-coastal,,,,
HR025,0,non-coastal,,,,
HR026,0,non-coastal,,,,
HR027,0,non-coastal,,,,
HR028,0,non-coastal,,,,
HR031,1,coastal (on coast),,,,
HR032,1,coastal (on coast),,,,
HR033,1,coastal (on coast),,,,
HR034,1,coastal (on coast),,,,
HR035,1,coastal (on coast),,,,
HR036,1,coastal (on coast),,,,
HR037,1,coastal (on coast),,,,
HR050,0,non-coastal,,,,
HR061,0,non-coastal,,,,
HR062,0,non-coastal,,,,
HR063,0,non-coastal,,,,
HR064,0,non-coastal,,,,
HR065,0,non-coastal,,,,
HU110,0,non-coastal,,,,
HU120,0,non-coastal,,,,
HU211,0,non-coastal,,,,
HU212,0,non-coastal,,,,
HU213,0,non-coastal,,,,
HU221,0,non-coastal,,,,
HU222,0,non-coastal,,,,
HU223,0,non-coastal,,,,
HU231,0,non-coastal,,,,
HU232,0,non-coastal,,,,
HU233,0,non-coastal,,,,
HU311,0,non-coastal,,,,
HU312,0,non-coastal,,,,
HU313,0,non-coastal,,,,
HU321,0,non-coastal,,,,
HU322,0,non-coastal,,,,
HU323,0,non-coastal,,,,
HU331,0,non-coastal,,,,
HU332,0,non-coastal,,,,
HU333,0,non-coastal,,,,
IE041,1,coastal (on coast),,,,
IE042,1,coastal (on coast),,,,
IE051,1,coastal (on coast),,,,
IE052,1,coastal (on coast),,,,
IE053,1,coastal (on coast),,,,
IE061,1,coastal (on coast),,,,
IE062,1,coastal (on coast),,,,
IE063,0,non-coastal,,,,
IS001,1,coastal (on coast),,,,
IS002,1,coastal (on coast),,,,
ITC11,0,non-coastal,,,,
ITC12,0,non-coastal,,,,
ITC13,0,non-coastal,,,,
ITC14,0,non-coastal,,,,
ITC15,0,non-coastal,,,,
ITC16,0,non-coastal,,,,
ITC17,0,non-coastal,,,,
ITC18,0,non-coastal,,,,
ITC20,0,non-coastal,,,,
ITC31,1,coastal (on coast),,,,
ITC32,1,coastal (on coast),,,,
ITC33,1,coastal (on coast),,,,
ITC34,1,coastal (on coast),,,,
ITC41,0,non-coastal,,,,
ITC42,0,non-coastal,,,,
ITC43,0,non-coastal,,,,
ITC44,0,non-coastal,,,,
ITC46,0,non-coastal,,,,
ITC47,0,non-coastal,,,,
ITC48,0,non-coastal,,,,
ITC49,0,non-coastal,,,,
ITC4A,0,non-coastal,,,,
ITC4B,0,non-coastal,,,,
ITC4C,0,non-coastal,,,,
ITC4D,0,non-coastal,,,,
ITF11,0,non-coastal,,,,
ITF12,1,coastal (on coast),,,,
ITF13,1,coastal (on coast),,,,
ITF14,1,coastal (on coast),,,,
ITF21,0,non-coastal,,,,
ITF22,1,coastal (on coast),,,,
ITF31,1,coastal (on coast),,,,
ITF32,2,coastal (>= 50% of population living within 50km of the coastline),,,,
ITF33,1,coastal (on coast),,,,
ITF34,2,coastal (>= 50% of population living within 50km of the coastline),,,,
ITF35,1,coastal (on coast),,,,
ITF43,1,coastal (on coast),,,,
ITF44,1,coastal (on coast),,,,
ITF45,1,coastal (on coast),,,,
ITF46,1,coastal (on coast),,,,
ITF47,1,coastal (on coast),,,,
ITF48,1,coastal (on coast),,,,
ITF51,1,coastal (on coast),,,,
ITF52,1,coastal (on coast),,,,
ITF61,1,coastal (on coast),,,,
ITF62,1,coastal (on coast),,,,
ITF63,1,coastal (on coast),,,,
ITF64,1,coastal (on coast),,,,
ITF65,1,coastal (on coast),,,,
ITG11,1,coastal (on coast),,,,
ITG12,1,coastal (on coast),,,,
ITG13,1,coastal (on coast),,,,
ITG14,1,coastal (on coast),,,,
ITG15,1,coastal (on coast),,,,
ITG16,2,coastal (>= 50% of population living within 50km of the coastline),,,,
ITG17,1,coastal (on coast),,,,
ITG18,1,coastal (on coast),,,,
ITG19,1,coastal (on coast),,,,
ITG2D,1,coastal (on coast),,,,
ITG2E,1,coastal (on coast),,,,
ITG2F,1,coastal (on coast),,,,
ITG2G,1,coastal (on coast),,,,
ITG2H,1,coastal (on coast),,,,
ITH10,0,non-coastal,,,,
ITH20,0,non-coastal,,,,
ITH31,0,non-coastal,,,,
ITH32,0,non-coastal,,,,
ITH33,0,non-coastal,,,,
ITH34,2,coastal (>= 50% of population living within 50km of the coastline),,,,
ITH35,1,coastal (on coast),,,,
ITH36,1,coastal (on coast),,,,
ITH37,1,coastal (on coast),,,,
ITH41,2,coastal (>= 50% of population living within 50km of the coastline),,,,
ITH42,1,coastal (on coast),,,,
ITH43,1,coastal (on coast),,,,
ITH44,1,coastal (on coast),,,,
ITH51,0,non-coastal,,,,
ITH52,0,non-coastal,,,,
ITH53,0,non-coastal,,,,
ITH54,0,non-coastal,,,,
ITH55,0,non-coastal,,,,
ITH56,1,coastal (on coast),,,,
ITH57,1,coastal (on coast),,,,
ITH58,1,coastal (on coast),,,,
ITH59,1,coastal (on coast),,,,
ITI11,1,coastal (on coast),,,,
ITI12,1,coastal (on coast),,,,
ITI13,0,non-coastal,,,,
ITI14,0,non-coastal,,,,
ITI15,0,non-coastal,,,,
ITI16,1,coastal (on coast),,,,
ITI17,1,coastal (on coast),,,,
ITI18,0,non-coastal,,,,
ITI19,0,non-coastal,,,,
ITI1A,1,coastal (on coast),,,,
ITI21,0,non-coastal,,,,
ITI22,0,non-coastal,,,,
ITI31,1,coastal (on coast),,,,
ITI32,1,coastal (on coast),,,,
ITI33,1,coastal (on coast),,,,
ITI34,1,coastal (on coast),,,,
ITI35,1,coastal (on coast),,,,
ITI41,1,coastal (on coast),,,,
ITI42,0,non-coastal,,,,
ITI43,1,coastal (on coast),,,,
ITI44,1,coastal (on coast),,,,
ITI45,2,coastal (>= 50% of population living within 50km of the coastline),,,,
LI000,0,non-coastal,,,,
LT011,0,non-coastal,,,,
LT021,0,non-coastal,,,,
LT022,0,non-coastal,,,,
LT023,1,coastal (on coast),,,,
LT024,0,non-coastal,,,,
LT025,0,non-coastal,,,,
LT026,0,non-coastal,,,,
LT027,0,non-coastal,,,,
LT028,0,non-coastal,,,,
LT029,0,non-coastal,,,,
LU000,0,non-coastal,,,,
LV003,1,coastal (on coast),,,,
LV005,0,non-coastal,,,,
LV006,1,coastal (on coast),,,,
LV007,1,coastal (on coast),,,,
LV008,0,non-coastal,,,,
LV009,0,non-coastal,,,,
ME000,1,coastal (on coast),,,,
MK001,0,non-coastal,,,,
MK002,0,non-coastal,,,,
MK003,0,non-coastal,,,,
MK004,0,non-coastal,,,,
MK005,0,non-coastal,,,,
MK006,0,non-coastal,,,,
MK007,0,non-coastal,,,,
MK008,0,non-coastal,,,,
MT001,1,coastal (on coast),,,,
MT002,1,coastal (on coast),,,,
NL111,1,coastal (on coast),,,,
NL112,1,coastal (on coast),,,,
NL113,1,coastal (on coast),,,,
NL124,1,coastal (on coast),,,,
NL125,1,coastal (on coast),,,,
NL126,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL131,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL132,0,non-coastal,,,,
NL133,0,non-coastal,,,,
NL211,0,non-coastal,,,,
NL212,0,non-coastal,,,,
NL213,0,non-coastal,,,,
NL221,0,non-coastal,,,,
NL224,0,non-coastal,,,,
NL225,0,non-coastal,,,,
NL226,0,non-coastal,,,,
NL230,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL310,0,non-coastal,,,,
NL321,1,coastal (on coast),,,,
NL323,1,coastal (on coast),,,,
NL324,1,coastal (on coast),,,,
NL325,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL327,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL328,1,coastal (on coast),,,,
NL329,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL332,1,coastal (on coast),,,,
NL333,1,coastal (on coast),,,,
NL337,1,coastal (on coast),,,,
NL33A,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL33B,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL33C,1,coastal (on coast),,,,
NL341,1,coastal (on coast),,,,
NL342,1,coastal (on coast),,,,
NL411,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NL412,0,non-coastal,,,,
NL413,0,non-coastal,,,,
NL414,0,non-coastal,,,,
NL421,0,non-coastal,,,,
NL422,0,non-coastal,,,,
NL423,0,non-coastal,,,,
NO020,0,non-coastal,,,,
NO060,1,coastal (on coast),,,,
NO071,1,coastal (on coast),,,,
NO074,1,coastal (on coast),,,,
NO081,1,coastal (on coast),,,,
NO082,1,coastal (on coast),,,,
NO091,1,coastal (on coast),,,,
NO092,1,coastal (on coast),,,,
NO0A1,1,coastal (on coast),,,,
NO0A2,1,coastal (on coast),,,,
NO0A3,1,coastal (on coast),,,,
NO0B1,2,coastal (>= 50% of population living within 50km of the coastline),,,,
NO0B2,2,coastal (>= 50% of population living within 50km of the coastline),,,,
PL213,0,non-coastal,,,,
PL214,0,non-coastal,,,,
PL217,0,non-coastal,,,,
PL218,0,non-coastal,,,,
PL219,0,non-coastal,,,,
PL21A,0,non-coastal,,,,
PL224,0,non-coastal,,,,
PL225,0,non-coastal,,,,
PL227,0,non-coastal,,,,
PL228,0,non-coastal,,,,
PL229,0,non-coastal,,,,
PL22A,0,non-coastal,,,,
PL22B,0,non-coastal,,,,
PL22C,0,non-coastal,,,,
PL411,0,non-coastal,,,,
PL414,0,non-coastal,,,,
PL415,0,non-coastal,,,,
PL416,0,non-coastal,,,,
PL417,0,non-coastal,,,,
PL418,0,non-coastal,,,,
PL424,2,coastal (>= 50% of population living within 50km of the coastline),,,,
PL426,1,coastal (on coast),,,,
PL427,0,non-coastal,,,,
PL428,1,coastal (on coast),,,,
PL431,0,non-coastal,,,,
PL432,0,non-coastal,,,,
PL514,0,non-coastal,,,,
PL515,0,non-coastal,,,,
PL516,0,non-coastal,,,,
PL517,0,non-coastal,,,,
PL518,0,non-coastal,,,,
PL523,0,non-coastal,,,,
PL524,0,non-coastal,,,,
PL613,0,non-coastal,,,,
PL616,0,non-coastal,,,,
PL617,0,non-coastal,,,,
PL618,0,non-coastal,,,,
PL619,0,non-coastal,,,,
PL621,1,coastal (on coast),,,,
PL622,0,non-coastal,,,,
PL623,0,non-coastal,,,,
PL633,1,coastal (on coast),,,,
PL634,1,coastal (on coast),,,,
PL636,1,coastal (on coast),,,,
PL637,0,non-coastal,,,,
PL638,2,coastal (>= 50% of population living within 50km of the coastline),,,,
PL711,0,non-coastal,,,,
PL712,0,non-coastal,,,,
PL713,0,non-coastal,,,,
PL714,0,non-coastal,,,,
PL715,0,non-coastal,,,,
PL721,0,non-coastal,,,,
PL722,0,non-coastal,,,,
PL811,0,non-coastal,,,,
PL812,0,non-coastal,,,,
PL814,0,non-coastal,,,,
PL815,0,non-coastal,,,,
PL821,0,non-coastal,,,,
PL822,0,non-coastal,,,,
PL823,0,non-coastal,,,,
PL824,0,non-coastal,,,,
PL841,0,non-coastal,,,,
PL842,0,non-coastal,,,,
PL843,0,non-coastal,,,,
PL911,0,non-coastal,,,,
PL912,0,non-coastal,,,,
PL913,0,non-coastal,,,,
PL921,0,non-coastal,,,,
PL922,0,non-coastal,,,,
PL923,0,non-coastal,,,,
PL924,0,non-coastal,,,,
PL925,0,non-coastal,,,,
PL926,0,non-coastal,,,,
PT111,1,coastal (on coast),,,,
PT112,1,coastal (on coast),,,,
PT119,2,coastal (>= 50% of population living within 50km of the coastline),,,,
PT11A,1,coastal (on coast),,,,
PT11B,0,non-coastal,,,,
PT11C,2,coastal (>= 50% of population living within 50km of the coastline),,,,
PT11D,0,non-coastal,,,,
PT11E,0,non-coastal,,,,
PT150,1,coastal (on coast),,,,
PT16B,1,coastal (on coast),,,,
PT16D,1,coastal (on coast),,,,
PT16E,1,coastal (on coast),,,,
PT16F,1,coastal (on coast),,,,
PT16G,0,non-coastal,,,,
PT16H,0,non-coastal,,,,
PT16I,0,non-coastal,,,,
PT16J,0,non-coastal,,,,
PT170,1,coastal (on coast),,,,
PT181,1,coastal (on coast),,,,
PT184,0,non-coastal,,,,
PT185,1,coastal (on coast),,,,
PT186,0,non-coastal,,,,
PT187,0,non-coastal,,,,
PT200,1,coastal (on coast),,,,
PT300,1,coastal (on coast),,,,
RO111,0,non-coastal,,,,
RO112,0,non-coastal,,,,
RO113,0,non-coastal,,,,
RO114,0,non-coastal,,,,
RO115,0,non-coastal,,,,
RO116,0,non-coastal,,,,
RO121,0,non-coastal,,,,
RO122,0,non-coastal,,,,
RO123,0,non-coastal,,,,
RO124,0,non-coastal,,,,
RO125,0,non-coastal,,,,
RO126,0,non-coastal,,,,
RO211,0,non-coastal,,,,
RO212,0,non-coastal,,,,
RO213,0,non-coastal,,,,
RO214,0,non-coastal,,,,
RO215,0,non-coastal,,,,
RO216,0,non-coastal,,,,
RO221,0,non-coastal,,,,
RO222,0,non-coastal,,,,
RO223,1,coastal (on coast),,,,
RO224,0,non-coastal,,,,
RO225,1,coastal (on coast),,,,
RO226,0,non-coastal,,,,
RO311,0,non-coastal,,,,
RO312,0,non-coastal,,,,
RO313,0,non-coastal,,,,
RO314,0,non-coastal,,,,
RO315,0,non-coastal,,,,
RO316,0,non-coastal,,,,
RO317,0,non-coastal,,,,
RO321,0,non-coastal,,,,
RO322,0,non-coastal,,,,
RO411,0,non-coastal,,,,
RO412,0,non-coastal,,,,
RO413,0,non-coastal,,,,
RO414,0,non-coastal,,,,
RO415,0,non-coastal,,,,
RO421,0,non-coastal,,,,
RO422,0,non-coastal,,,,
RO423,0,non-coastal,,,,
RO424,0,non-coastal,,,,
RS110,0,non-coastal,,,,
RS121,0,non-coastal,,,,
RS122,0,non-coastal,,,,
RS123,0,non-coastal,,,,
RS124,0,non-coastal,,,,
RS125,0,non-coastal,,,,
RS126,0,non-coastal,,,,
RS127,0,non-coastal,,,,
RS211,0,non-coastal,,,,
RS212,0,non-coastal,,,,
RS213,0,non-coastal,,,,
RS214,0,non-coastal,,,,
RS215,0,non-coastal,,,,
RS216,0,non-coastal,,,,
RS217,0,non-coastal,,,,
RS218,0,non-coastal,,,,
RS221,0,non-coastal,,,,
RS222,0,non-coastal,,,,
RS223,0,non-coastal,,,,
RS224,0,non-coastal,,,,
RS225,0,non-coastal,,,,
RS226,0,non-coastal,,,,
RS227,0,non-coastal,,,,
RS228,0,non-coastal,,,,
RS229,0,non-coastal,,,,
SE110,1,coastal (on coast),,,,
SE121,1,coastal (on coast),,,,
SE122,1,coastal (on coast),,,,
SE123,1,coastal (on coast),,,,
SE124,0,non-coastal,,,,
SE125,0,non-coastal,,,,
SE211,0,non-coastal,,,,
SE212,0,non-coastal,,,,
SE213,1,coastal (on coast),,,,
SE214,1,coastal (on coast),,,,
SE221,1,coastal (on coast),,,,
SE224,1,coastal (on coast),,,,
SE231,1,coastal (on coast),,,,
SE232,1,coastal (on coast),,,,
SE311,0,non-coastal,,,,
SE312,0,non-coastal,,,,
SE313,1,coastal (on coast),,,,
SE321,1,coastal (on coast),,,,
SE322,0,non-coastal,,,,
SE331,1,coastal (on coast),,,,
SE332,1,coastal (on coast),,,,
SI031,0,non-coastal,,,,
SI032,0,non-coastal,,,,
SI033,0,non-coastal,,,,
SI034,0,non-coastal,,,,
SI035,0,non-coastal,,,,
SI036,0,non-coastal,,,,
SI037,0,non-coastal,,,,
SI038,2,coastal (>= 50% of population living within 50km of the coastline),,,,
SI041,0,non-coastal,,,,
SI042,0,non-coastal,,,,
SI043,2,coastal (>= 50% of population living within 50km of the coastline),,,,
SI044,1,coastal (on coast),,,,
SK010,0,non-coastal,,,,
SK021,0,non-coastal,,,,
SK022,0,non-coastal,,,,
SK023,0,non-coastal,,,,
SK031,0,non-coastal,,,,
SK032,0,non-coastal,,,,
SK041,0,non-coastal,,,,
SK042,0,non-coastal,,,,
TR100,1,coastal (on coast),,,,
TR211,1,coastal (on coast),,,,
TR212,1,coastal (on coast),,,,
TR213,1,coastal (on coast),,,,
TR221,1,coastal (on coast),,,,
TR222,1,coastal (on coast),,,,
TR310,1,coastal (on coast),,,,
TR321,1,coastal (on coast),,,,
TR322,0,non-coastal,,,,
TR323,1,coastal (on coast),,,,
TR331,0,non-coastal,,,,
TR332,0,non-coastal,,,,
TR333,0,non-coastal,,,,
TR334,0,non-coastal,,,,
TR411,1,coastal (on coast),,,,
TR412,0,non-coastal,,,,
TR413,0,non-coastal,,,,
TR421,1,coastal (on coast),,,,
TR422,1,coastal (on coast),,,,
TR423,1,coastal (on coast),,,,
TR424,0,non-coastal,,,,
TR425,1,coastal (on coast),,,,
TR510,0,non-coastal,,,,
TR521,0,non-coastal,,,,
TR522,0,non-coastal,,,,
TR611,1,coastal (on coast),,,,
TR612,0,non-coastal,,,,
TR613,0,non-coastal,,,,
TR621,1,coastal (on coast),,,,
TR622,1,coastal (on coast),,,,
TR631,1,coastal (on coast),,,,
TR632,0,non-coastal,,,,
TR633,2,coastal (>= 50% of population living within 50km of the coastline),,,,
TR711,0,non-coastal,,,,
TR712,0,non-coastal,,,,
TR713,0,non-coastal,,,,
TR714,0,non-coastal,,,,
TR715,0,non-coastal,,,,
TR721,0,non-coastal,,,,
TR722,0,non-coastal,,,,
TR723,0,non-coastal,,,,
TR811,1,coastal (on coast),,,,
TR812,0,non-coastal,,,,
TR813,1,coastal (on coast),,,,
TR821,1,coastal (on coast),,,,
TR822,0,non-coastal,,,,
TR823,1,coastal (on coast),,,,
TR831,1,coastal (on coast),,,,
TR832,0,non-coastal,,,,
TR833,0,non-coastal,,,,
TR834,0,non-coastal,,,,
TR901,1,coastal (on coast),,,,
TR902,1,coastal (on coast),,,,
TR903,1,coastal (on coast),,,,
TR904,1,coastal (on coast),,,,
TR905,1,coastal (on coast),,,,
TR906,0,non-coastal,,,,
TRA11,0,non-coastal,,,,
TRA12,0,non-coastal,,,,
TRA13,0,non-coastal,,,,
TRA21,0,non-coastal,,,,
TRA22,0,non-coastal,,,,
TRA23,0,non-coastal,,,,
TRA24,0,non-coastal,,,,
TRB11,0,non-coastal,,,,
TRB12,0,non-coastal,,,,
TRB13,0,non-coastal,,,,
TRB14,0,non-coastal,,,,
TRB21,0,non-coastal,,,,
TRB22,0,non-coastal,,,,
TRB23,0,non-coastal,,,,
TRB24,0,non-coastal,,,,
TRC11,0,non-coastal,,,,
TRC12,0,non-coastal,,,,
TRC13,2,coastal (>= 50% of population living within 50km of the coastline),,,,
TRC21,0,non-coastal,,,,
TRC22,0,non-coastal,,,,
TRC31,0,non-coastal,,,,
TRC32,0,non-coastal,,,,
TRC33,0,non-coastal,,,,
TRC34,0,non-coastal,,,,
UKC11,1,coastal (on coast),,,,
UKC12,1,coastal (on coast),,,,
UKC13,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKC14,1,coastal (on coast),,,,
UKC21,1,coastal (on coast),,,,
UKC22,1,coastal (on coast),,,,
UKC23,1,coastal (on coast),,,,
UKD11,1,coastal (on coast),,,,
UKD12,1,coastal (on coast),,,,
UKD33,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD34,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD35,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD36,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD37,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD41,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD42,1,coastal (on coast),,,,
UKD44,1,coastal (on coast),,,,
UKD45,1,coastal (on coast),,,,
UKD46,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD47,1,coastal (on coast),,,,
UKD61,1,coastal (on coast),,,,
UKD62,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKD63,1,coastal (on coast),,,,
UKD71,1,coastal (on coast),,,,
UKD72,1,coastal (on coast),,,,
UKD73,1,coastal (on coast),,,,
UKD74,1,coastal (on coast),,,,
UKE11,1,coastal (on coast),,,,
UKE12,1,coastal (on coast),,,,
UKE13,1,coastal (on coast),,,,
UKE21,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKE22,1,coastal (on coast),,,,
UKE31,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKE32,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKE41,0,non-coastal,,,,
UKE42,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKE44,0,non-coastal,,,,
UKE45,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKF11,0,non-coastal,,,,
UKF12,0,non-coastal,,,,
UKF13,0,non-coastal,,,,
UKF14,0,non-coastal,,,,
UKF15,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKF16,0,non-coastal,,,,
UKF21,0,non-coastal,,,,
UKF22,0,non-coastal,,,,
UKF24,0,non-coastal,,,,
UKF25,0,non-coastal,,,,
UKF30,1,coastal (on coast),,,,
UKG11,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKG12,0,non-coastal,,,,
UKG13,0,non-coastal,,,,
UKG21,0,non-coastal,,,,
UKG22,0,non-coastal,,,,
UKG23,0,non-coastal,,,,
UKG24,0,non-coastal,,,,
UKG31,0,non-coastal,,,,
UKG32,0,non-coastal,,,,
UKG33,0,non-coastal,,,,
UKG36,0,non-coastal,,,,
UKG37,0,non-coastal,,,,
UKG38,0,non-coastal,,,,
UKG39,0,non-coastal,,,,
UKH11,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKH12,0,non-coastal,,,,
UKH14,1,coastal (on coast),,,,
UKH15,1,coastal (on coast),,,,
UKH16,1,coastal (on coast),,,,
UKH17,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKH21,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKH23,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKH24,0,non-coastal,,,,
UKH25,0,non-coastal,,,,
UKH31,1,coastal (on coast),,,,
UKH32,1,coastal (on coast),,,,
UKH34,1,coastal (on coast),,,,
UKH35,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKH36,1,coastal (on coast),,,,
UKH37,1,coastal (on coast),,,,
UKI31,1,coastal (on coast),,,,
UKI32,1,coastal (on coast),,,,
UKI33,1,coastal (on coast),,,,
UKI34,1,coastal (on coast),,,,
UKI41,1,coastal (on coast),,,,
UKI42,1,coastal (on coast),,,,
UKI43,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI44,1,coastal (on coast),,,,
UKI45,1,coastal (on coast),,,,
UKI51,1,coastal (on coast),,,,
UKI52,1,coastal (on coast),,,,
UKI53,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI54,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI61,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI62,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI63,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI71,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI72,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI73,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI74,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKI75,1,coastal (on coast),,,,
UKJ11,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKJ12,0,non-coastal,,,,
UKJ13,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKJ14,0,non-coastal,,,,
UKJ21,1,coastal (on coast),,,,
UKJ22,1,coastal (on coast),,,,
UKJ25,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKJ26,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKJ27,1,coastal (on coast),,,,
UKJ28,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKJ31,1,coastal (on coast),,,,
UKJ32,1,coastal (on coast),,,,
UKJ34,1,coastal (on coast),,,,
UKJ35,1,coastal (on coast),,,,
UKJ36,1,coastal (on coast),,,,
UKJ37,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKJ41,1,coastal (on coast),,,,
UKJ43,1,coastal (on coast),,,,
UKJ44,1,coastal (on coast),,,,
UKJ45,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKJ46,1,coastal (on coast),,,,
UKK11,1,coastal (on coast),,,,
UKK12,1,coastal (on coast),,,,
UKK13,1,coastal (on coast),,,,
UKK14,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKK15,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKK23,1,coastal (on coast),,,,
UKK24,1,coastal (on coast),,,,
UKK25,1,coastal (on coast),,,,
UKK30,1,coastal (on coast),,,,
UKK41,1,coastal (on coast),,,,
UKK42,1,coastal (on coast),,,,
UKK43,1,coastal (on coast),,,,
UKL11,1,coastal (on coast),,,,
UKL12,1,coastal (on coast),,,,
UKL13,1,coastal (on coast),,,,
UKL14,1,coastal (on coast),,,,
UKL15,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKL16,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKL17,1,coastal (on coast),,,,
UKL18,1,coastal (on coast),,,,
UKL21,1,coastal (on coast),,,,
UKL22,1,coastal (on coast),,,,
UKL23,1,coastal (on coast),,,,
UKL24,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKM50,1,coastal (on coast),,,,
UKM61,1,coastal (on coast),,,,
UKM62,1,coastal (on coast),,,,
UKM63,1,coastal (on coast),,,,
UKM64,1,coastal (on coast),,,,
UKM65,1,coastal (on coast),,,,
UKM66,1,coastal (on coast),,,,
UKM71,1,coastal (on coast),,,,
UKM72,1,coastal (on coast),,,,
UKM73,1,coastal (on coast),,,,
UKM75,1,coastal (on coast),,,,
UKM76,1,coastal (on coast),,,,
UKM77,1,coastal (on coast),,,,
UKM78,1,coastal (on coast),,,,
UKM81,1,coastal (on coast),,,,
UKM82,1,coastal (on coast),,,,
UKM83,1,coastal (on coast),,,,
UKM84,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKM91,1,coastal (on coast),,,,
UKM92,1,coastal (on coast),,,,
UKM93,1,coastal (on coast),,,,
UKM94,1,coastal (on coast),,,,
UKM95,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKN06,1,coastal (on coast),,,,
UKN07,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKN08,1,coastal (on coast),,,,
UKN09,1,coastal (on coast),,,,
UKN0A,1,coastal (on coast),,,,
UKN0B,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKN0C,1,coastal (on coast),,,,
UKN0D,1,coastal (on coast),,,,
UKN0E,2,coastal (>= 50% of population living within 50km of the coastline),,,,
UKN0F,1,coastal (on coast),,,,
UKN0G,2,coastal (>= 50% of population living within 50km of the coastline),,,,
