geo,NUTS_NAME,year,pop,gdp_capita,employment_rate,area_km2,pop_dens
AT11,Burgenland,2020,294436.0,29700.0,75.4,3965.37981661705,74.25165144739896
AT11,Burgenland,2055,350592.86269343976,42073.10185412866,75.4,3965.37981661705,88.41343803291409
AT11,Burgenland,2085,407178.5797946763,56708.1846987782,75.4,3965.37981661705,102.68337426048862
AT12,Niederösterreich,2020,1684287.0,35100.0,77.6,19196.45485772503,87.73948171592787
AT12,Niederösterreich,2055,2005525.8220032388,49722.75673669751,77.6,19196.45485772503,104.47376022641888
AT12,Niederösterreich,2085,2329217.8559233104,67018.76373491969,77.6,19196.45485772503,121.33583378735096
AT13,Wien,2020,1911191.0,50000.0,68.4,414.0601831024673,4615.732393488891
AT13,Wien,2055,2275706.5163361067,70830.13780156341,68.4,414.0601831024673,5496.076679686292
AT13,Wien,2085,2643005.7367182244,95468.32440871751,68.4,414.0601831024673,6383.143911386816
AT21,Kärnten,2020,561293.0,37700.0,73.1,9543.15797606618,58.816274592508904
AT21,Kärnten,2055,668346.6684773224,53405.92390237881,73.1,9543.15797606618,70.03411974877775
AT21,Kärnten,2085,776217.876172388,71983.116604173,73.1,9543.15797606618,81.3376324817328
AT22,Steiermark,2020,1246395.0,39300.0,76.5,16413.667048137533,75.93641301146224
AT22,Steiermark,2055,1484116.042524657,55672.488312028836,76.5,16413.667048137533,90.41952893110869
AT22,Steiermark,2085,1723652.4948144436,75038.10298525196,76.5,16413.667048137533,105.01324839594741
AT31,Oberösterreich,2020,1490279.0,44500.0,79.0,11984.443388444672,124.35112351041
AT31,Oberösterreich,2055,1774515.2794560338,63038.82264339143,79.0,11984.443388444672,148.06822661175994
AT31,Oberösterreich,2085,2060922.1926592886,84966.80872375859,79.0,11984.443388444672,171.96645066106427
AT32,Salzburg,2020,558410.0,50200.0,79.1,7155.910030661977,78.03479887356029
AT32,Salzburg,2055,664913.8028523813,71113.45835276967,79.1,7155.910030661977,92.91813340348433
AT32,Salzburg,2085,772230.9457510127,95850.19770635238,79.1,7155.910030661977,107.91512783728716
AT33,Tirol,2020,757634.0,44000.0,78.0,12651.059478808633,59.88700007845884
AT33,Tirol,2055,902135.1768597643,62330.5212653758,78.0,12651.059478808633,71.30906137710448
AT33,Tirol,2085,1047739.8691877343,84012.1254796714,78.0,12651.059478808633,82.81834979455819
AT34,Vorarlberg,2020,397139.0,45700.0,79.5,2619.0236403088584,151.63627921784084
AT34,Vorarlberg,2055,472884.0865152698,64738.74595062895,79.5,2619.0236403088584,180.5573952205728
AT34,Vorarlberg,2085,549207.6172787225,87258.0485095678,79.5,2619.0236403088584,209.69937377654028
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2020,1223364.0,68800.0,61.3,161.77489479944217,7562.137509139759
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2055,1456692.4115125097,97462.26961495125,61.3,161.77489479944217,9004.440480820098
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2085,1691802.6874836443,131364.41438639528,61.3,161.77489479944217,10457.757920850634
BE21,Prov. Antwerpen,2020,1873095.0,47600.0,72.9,2871.816663467503,652.2334882402898
BE21,Prov. Antwerpen,2055,2230344.584720512,67430.29118708837,72.9,2871.816663467503,776.6319532485539
BE21,Prov. Antwerpen,2085,2590322.3855795795,90885.84483709907,72.9,2871.816663467503,901.9804148820418
BE22,Prov. Limburg (BE),2020,880602.0,32200.0,71.9,2426.5709583445337,362.8997524147278
BE22,Prov. Limburg (BE),2055,1048556.4811149739,45614.60874420684,71.9,2426.5709583445337,432.11449370939675
BE22,Prov. Limburg (BE),2085,1217793.5840873788,61481.60091921408,71.9,2426.5709583445337,501.85780881437216
BE23,Prov. Oost-Vlaanderen,2020,1526486.0,36900.0,77.1,3007.612707084256,507.54074698662214
BE23,Prov. Oost-Vlaanderen,2055,1817627.9279757168,52272.641697553794,77.1,3007.612707084256,604.3424153962378
BE23,Prov. Oost-Vlaanderen,2085,2110993.2262238865,70455.62341363353,77.1,3007.612707084256,701.8833313383619
BE24,Prov. Vlaams-Brabant,2020,1156470.0,42600.0,75.0,2119.5452605787805,545.6217526981258
BE24,Prov. Vlaams-Brabant,2055,1377039.9269079946,60347.27740693202,75.0,2119.5452605787805,649.6864929093181
BE24,Prov. Vlaams-Brabant,2085,1599294.2852611407,81339.01239622732,75.0,2119.5452605787805,754.545946720866
BE25,Prov. West-Vlaanderen,2020,1202352.0,39000.0,76.5,3170.666620843881,379.2111072465862
BE25,Prov. West-Vlaanderen,2055,1431672.8580920224,55247.50748521946,76.5,3170.666620843881,451.5368625260826
BE25,Prov. West-Vlaanderen,2085,1662744.9760670862,74465.29303879966,76.5,3170.666620843881,524.414949568095
BE31,Prov. Brabant wallon,2020,406794.0,54500.0,70.4,1097.3014493424164,370.72219328952934
BE31,Prov. Brabant wallon,2055,484380.5546418072,77204.85020370412,70.4,1097.3014493424164,441.42888440736465
BE31,Prov. Brabant wallon,2085,562559.6163138867,104060.47360550209,70.4,1097.3014493424164,512.6755429431117
BE32,Prov. Hainaut,2020,1350295.0,24900.0,60.2,3812.7807285775134,354.14966034613093
BE32,Prov. Hainaut,2055,1607832.5664342616,35273.40862517858,60.2,3812.7807285775134,421.6955237900916
BE32,Prov. Hainaut,2085,1867336.8759385822,47543.22555554132,60.2,3812.7807285775134,489.75721628640713
BE33,Prov. Liège,2020,1113943.0,29000.0,64.7,3853.5959233910007,289.0658548911318
BE33,Prov. Liège,2055,1326401.8844411634,41081.47992490678,64.7,3853.5959233910007,344.1984865071131
BE33,Prov. Liège,2085,1540483.258542505,55371.628157056155,64.7,3853.5959233910007,399.7521507618124
BE34,Prov. Luxembourg (BE),2020,289606.0,24700.0,71.5,4461.892921112858,64.90653297160888
BE34,Prov. Luxembourg (BE),2055,344841.65181294514,34990.08807397232,71.5,4461.892921112858,77.28595417008279
BE34,Prov. Luxembourg (BE),2085,400499.1230013212,47161.35225790645,71.5,4461.892921112858,89.75991357977976
BE35,Prov. Namur,2020,499433.0,26900.0,67.7,3677.49771183602,135.8078343305492
BE35,Prov. Namur,2055,594688.3030389379,38106.614137241115,67.7,3677.49771183602,161.71004026051045
BE35,Prov. Namur,2085,690671.0444463127,51361.95853189002,67.7,3677.49771183602,187.81005416356595
BG31,Северозападен,2020,704576.0,6000.0,63.6,19061.15133596403,36.963979120748405
BG31,Северозападен,2055,838957.5895104302,8499.616536187608,63.6,19061.15133596403,44.01400391420791
BG31,Северозападен,2085,974365.41400309,11456.1989290461,63.6,19061.15133596403,51.11786779451698
BG32,Северен централен,2020,714075.0,6500.0,73.8,14818.292594844605,48.1887501835692
BG32,Северен централен,2055,850268.3042420696,9207.917914203243,73.8,14818.292594844605,57.37964065697315
BG32,Северен централен,2085,987501.6790300217,12410.882173133276,73.8,14818.292594844605,66.64071941551356
BG33,Североизточен,2020,835432.0,7500.0,72.1,14648.020255674472,57.03378241004025
BG33,Североизточен,2055,994771.3474768907,10624.520670234511,72.1,14648.020255674472,67.91165837523523
BG33,Североизточен,2085,1155327.525421572,14320.248661307627,72.1,14648.020255674472,78.87260566655836
BG34,Югоизточен,2020,963654.0,6700.0,72.6,19799.97997849993,48.66944315329593
BG34,Югоизточен,2055,1147448.7308141126,9491.238465409497,72.6,19799.97997849993,57.95201470203934
BG34,Югоизточен,2085,1332647.0510856654,12792.755470768147,72.6,19799.97997849993,67.30547467890057
BG41,Югозападен,2020,2034417.0,15500.0,78.5,20300.065778490003,100.21726147092947
BG41,Югозападен,2055,2422435.028129032,21957.342718484655,78.5,20300.065778490003,119.3313881128331
BG41,Югозападен,2085,2813416.242477638,29595.180566702427,78.5,20300.065778490003,138.5914840462606
BG42,Южен централен,2020,1317121.0,6900.0,72.0,22369.691649136937,58.87971191819342
BG42,Южен централен,2055,1568331.3925730756,9774.55901661575,72.0,22369.691649136937,70.10965627832356
BG42,Южен централен,2085,1821460.2093417374,13174.628768403016,72.0,22369.691649136937,81.42536061340893
CY00,Κύπρος,2020,902429.0,25100.0,75.2,9258.638861058718,97.46886270675947
CY00,Κύπρος,2055,1074546.476951114,35556.72917638483,75.2,9258.638861058718,116.05879579887193
CY00,Κύπρος,2085,1247978.3674059215,47925.09885317619,75.2,9258.638861058718,134.79069506154343
CZ01,Praha,2020,1324277.0,46300.0,82.1,496.611037413875,2666.6282064454986
CZ01,Praha,2055,1576852.2342005745,65588.70760424771,82.1,496.611037413875,3175.2259120379313
CZ01,Praha,2085,1831356.3155142525,88403.66840247241,82.1,496.611037413875,3687.7076374522912
CZ02,Střední Čechy,2020,1385141.0,19000.0,82.3,10931.366681342426,126.71251824020761
CZ02,Střední Čechy,2055,1649324.635656149,26915.452364594094,82.3,10931.366681342426,150.88000281531163
CZ02,Střední Čechy,2085,1915525.7685723812,36277.96327531265,82.3,10931.366681342426,175.23204777695236
CZ03,Jihozápad,2020,1233982.0,17800.0,80.0,17709.34749957337,69.67969881610418
CZ03,Jihozápad,2055,1469335.5496344748,25215.529057356573,80.0,17709.34749957337,82.9694910933264
