geo,year,gdp,pop,employment_rate,pct_Dfb,pct_Dfc,pct_ET,pct_EF,pct_Cfb,pct_BSk,pct_Csa,pct_Csb,pct_Cfa,pct_Dfa,pct_Dsb,pct_Dsc,pct_BSh,pct_BWk,pct_Cfc,pct_BWh,pct_Af,pct_Am,pct_Aw,pct_Cwa,pct_Cwb,pct_Csc,pct_Dsa,nights_spent
AT11,2000,17700.0,276226.0,70.8,0.5985588250219294,0.0,0.0,0.0,0.2469425777313817,0.0,0.0,0.0,0.1544985972466888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099045.0
AT12,2000,21900.0,1535083.0,71.8,0.8018336910215286,0.0183121705758061,0.000138025996063,0.0,0.1796217608578914,0.0,0.0,0.0,9.435154871064552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5170345.0
AT13,2000,36400.0,1548537.0,70.2,0.305615736442106,0.0,0.0,0.0,0.6943842635578941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7697066.0
AT21,2000,22400.0,560696.0,66.9,0.655036596310555,0.252566488317317,0.0923962481823845,6.671897434255124e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10282335.0
AT22,2000,23200.0,1182930.0,67.4,0.7041753850251234,0.2604680181825294,0.0340908691373846,0.0,0.0,0.0,0.0,0.0,0.0012657276549626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7416045.0
AT31,2000,25500.0,1370035.0,72.1,0.8272132841472668,0.0402023090915444,0.0081692465066579,0.0,0.1244151602545307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5825096.0
AT32,2000,29100.0,512854.0,74.2,0.4639871171587133,0.3689012214909171,0.1671099009871111,1.7603632585028026e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16464881.0
AT33,2000,26600.0,667459.0,71.8,0.309859739575042,0.3755291433227377,0.3074760626658611,1.4193222971396156e-05,0.0071208612133879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30435595.0
AT34,2000,27500.0,348366.0,72.3,0.3769753086419752,0.3407835023105041,0.1385619697910201,0.0,0.1436792192565004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5320218.0
BE10,2000,,959318.0,59.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4496895.0
