NUTS_ID,NUTS_NAME,scenario,pct_Af,pct_Am,pct_Aw,pct_BWh,pct_BWk,pct_BSh,pct_BSk,pct_Csa,pct_Csb,pct_Csc,pct_Cwa,pct_Cwb,pct_Cwc,pct_Cfa,pct_Cfb,pct_Cfc,pct_Dsa,pct_Dsb,pct_Dsc,pct_Dsd,pct_Dwa,pct_Dwb,pct_Dwc,pct_Dwd,pct_Dfa,pct_Dfb,pct_Dfc,pct_Dfd,pct_ET,pct_EF
AL02,Qender,ssp119_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5437247491202919,0.008731917111950998,0.0,0.0,0.0,0.0,0.22403232112602633,0.09826664928971719,0.0,0.0,0.004431122116512446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1208132412355011,0.0,0.0,0.0,0.0
AL02,Qender,ssp126_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6211390590381859,0.011077805291281115,0.0,0.0,0.0,0.0,0.1752899778443894,0.08536426430340154,0.0,0.0,0.007428645901212042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09970024762153004,0.0,0.0,0.0,0.0
AL02,Qender,ssp245_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6979017333507103,0.023980190277596767,0.0,0.0,0.0,0.0,0.12016160563013163,0.06451192493157826,0.0,0.0,0.01498761892349798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07845692688648508,0.0,0.0,0.0,0.0
AL02,Qender,ssp370_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8218428254919848,0.037664537990355795,0.0,0.0,0.0,0.0,0.024892480125114035,0.03805551935357748,0.0,0.0,0.030496546331291542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047048090707676266,0.0,0.0,0.0,0.0
AL02,Qender,ssp434_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8138928711064772,0.07454711325426822,0.0,0.0,0.0,0.0,0.011338459533428907,0.005734393327251401,0.0,0.0,0.08497328294017985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00951387983839437,0.0,0.0,0.0,0.0
AL02,Qender,ssp460_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8189756288283592,0.03479734132673009,0.0,0.0,0.0,0.0,0.022676919066857815,0.032060471784178285,0.0,0.0,0.05239150267170598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039098136322168645,0.0,0.0,0.0,0.0
AL02,Qender,ssp585_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8537729701550892,0.03844650071679916,0.0,0.0,0.0,0.0,0.028020331030887528,0.018897432555714844,0.0,0.0,0.019158086797862635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041704678743646556,0.0,0.0,0.0,0.0
AL02,Qender,ssp119_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4985012381076502,0.0065163560536947735,0.0,0.0,0.0,0.0,0.25739606412094357,0.10543464094878144,0.0,0.0,0.0020852339371823275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299361397106738,0.00013032712107389547,0.0,0.0,0.0
AL02,Qender,ssp126_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6917763586602372,0.024240844519744557,0.0,0.0,0.0,0.0,0.1064772579173726,0.0779356184021895,0.0,0.0,0.012250749380946176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08731917111950997,0.0,0.0,0.0,0.0
AL02,Qender,ssp245_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8334419392675616,0.02215561058256223,0.0,0.0,0.0,0.0,0.03779486511142969,0.038576827837873064,0.0,0.0,0.0202007037664538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04783005343411964,0.0,0.0,0.0,0.0
