geo,year,pop,employment_rate,gdp_capita,NUTS_NAME,area_km2,pop_dens,pct_Dfb,pct_Dfc,pct_ET,pct_EF,pct_Cfb,pct_BSk,pct_Csa,pct_Csb,pct_Cfa,pct_Dfa,pct_Dsb,pct_Dsc,pct_BSh,pct_BWk,pct_Cfc,pct_BWh,pct_Af,pct_Am,pct_Aw,pct_Cwa,pct_Cwb,pct_Csc,pct_Dsa,tx,tg,tn,rr,hu,fg,qq,NUTS_NAME_completo,CNTR_CODE,is_coastal,nights_spent
AT11,2000,276226.0,70.8,17700.0,Burgenland,3965.37981661705,69.65940534686392,0.5985588250219294,0.0,0.0,0.0,0.2469425777313817,0.0,0.0,0.0,0.1544985972466888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.62306,11.723061,6.858689,958.60004,71.26456,2.850642,144.36339,Burgenland,AT,0,2099045.0
AT12,2000,1535083.0,71.8,21900.0,Niederösterreich,19196.45485772503,79.96700491717367,0.8018336910215286,0.0183121705758061,0.000138025996063,0.0,0.1796217608578914,0.0,0.0,0.0,9.435154871064552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.824273,10.147235,5.456123,6921.0,73.634094,2.4722078,134.68333,Niederösterreich,AT,0,5170345.0
AT13,2000,1548537.0,70.2,36400.0,Wien,414.0601831024673,3739.883870014095,0.305615736442106,0.0,0.0,0.0,0.6943842635578941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,7697066.0
AT21,2000,560696.0,66.9,22400.0,Kärnten,9543.15797606618,58.753716684372286,0.655036596310555,0.252566488317317,0.0923962481823845,6.671897434255124e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.703607,7.938424,3.2946174,4040.7002,74.07037,1.3551822,145.40437,Kärnten,AT,0,10282335.0
AT22,2000,1182930.0,67.4,23200.0,Steiermark,16413.667048137533,72.06981819058086,0.7041753850251234,0.2604680181825294,0.0340908691373846,0.0,0.0,0.0,0.0,0.0,0.0012657276549626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.281987,7.801864,3.371779,9711.601,75.63909,1.6497813,137.09381,Steiermark,AT,0,7416045.0
AT31,2000,1370035.0,72.1,25500.0,Oberösterreich,11984.443388444672,114.31778311214516,0.8272132841472668,0.0402023090915444,0.0081692465066579,0.0,0.1244151602545307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.464992,9.082272,4.767018,7870.9,78.24081,2.2776268,131.98477,Oberösterreich,AT,0,5825096.0
AT32,2000,512854.0,74.2,29100.0,Salzburg,7155.910030661977,71.6685925064037,0.4639871171587133,0.3689012214909171,0.1671099009871111,1.7603632585028026e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.401735,3.4671173,0.5613114,3737.6,76.89138,2.2611065,136.88388,Salzburg,AT,0,16464881.0
AT33,2000,667459.0,71.8,26600.0,Tirol,12651.059478808633,52.75913856211318,0.309859739575042,0.3755291433227377,0.3074760626658611,1.4193222971396156e-05,0.0071208612133879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.033693,3.9447997,-0.03978142,9103.601,76.7137,1.6238842,139.69809,Tirol,AT,0,30435595.0
AT34,2000,348366.0,72.3,27500.0,Vorarlberg,2619.0236403088584,133.01369053656867,0.3769753086419752,0.3407835023105041,0.1385619697910201,0.0,0.1436792192565004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.880956,3.2018306,-0.44401637,1684.9,76.13922,1.5634699,136.3306,Vorarlberg,AT,0,5320218.0
BE10,2000,959318.0,59.5,,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,161.77489479944217,5929.955950144793,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,4496895.0
