geo,year,pop,employment_rate,gdp_capita,NUTS_NAME,area_km2,pop_dens,is_coastal,pct_Dfb,pct_Dfc,pct_ET,pct_EF,pct_Cfb,pct_BSk,pct_Csa,pct_Csb,pct_Cfa,pct_Dfa,pct_Dsb,pct_Dsc,pct_BSh,pct_BWk,pct_Cfc,pct_BWh,pct_Af,pct_Am,pct_Aw,pct_Cwa,pct_Cwb,pct_Csc,pct_Dsa,nights_spent
BE35,2012,482728.0,65.3,24200.0,Prov. Namur,3677.49771183602,131.2653434008513,0.0,1.3221251213760556e-05,0.0,0.0,0.0,0.9999867787487864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG31,2012,836601.0,58.0,3600.0,Северозападен,19061.15133596403,43.89037079945561,0.0,0.1033498311682104,0.0035934998798002,0.0,0.0,0.0063512317643652,0.0164611950162605,0.0,0.0,0.8555214001600984,0.0147228420112653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG32,2012,853468.0,59.8,4000.0,Северен централен,14818.292594844605,57.59556943132085,0.0,0.0,2.567897739492012e-05,0.0,0.0,0.0001562558956877,0.0,0.0,0.0,0.5525729324503099,0.4472451326766074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG33,2012,961965.0,58.9,4800.0,Североизточен,14648.020255674472,65.67201459373638,1.0,0.0,0.0,0.0,0.0,0.0023338465661027,0.0021581210828148,0.0,0.0,0.7979410679823693,0.1975669643687131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6436781.0
BG34,2012,1072850.0,62.4,4900.0,Югоизточен,19799.97997849993,54.184398224895595,1.0,0.0840326052160121,0.0010785815247536,0.0,0.0,0.0,0.0348595860448576,0.014862169484007,0.0,0.8549883941770113,0.0101786635533584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7356047.0
BG41,2012,2131233.0,69.2,9400.0,Югозападен,20300.065778490003,104.98650710079272,0.0,0.6694356596863769,0.0527312317797018,0.0,0.0,0.0185285058176808,0.0381953793357136,0.0007941497699581,0.0,0.2102166394614628,0.0100984341491059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG42,2012,1471107.0,61.2,4100.0,Южен централен,22369.691649136937,65.76340090305885,0.0,0.3020348112820991,0.005466141574958,0.0,0.0,0.0265446708813522,0.0034315982959183,0.1662434311025724,0.0,0.4930690879075814,0.0028409880118682,0.0003692709436501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY00,2012,862011.0,70.2,22600.0,Κύπρος,9258.638861058718,93.10342620939312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7803276324625706,0.0017649631397866,0.0,0.0,2.830552122542569e-05,0.0,0.2178790988764171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14576573.0
CZ01,2012,1241664.0,76.9,34000.0,Praha,496.611037413875,2500.2746746548823,0.0,0.2191798509719818,0.0,0.0,0.0,0.7755885286920177,0.0052316203360004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ02,2012,1279345.0,74.4,14500.0,Střední Čechy,10931.366681342426,117.03431394205963,0.0,0.7557311196457613,0.0,0.0,0.0,0.2442688803542387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
