freq,c_resid,terrtypo,nace_r2,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,CST_A,I551,NR,SI	532937 	540263 	540539 	555193 	556570 	590163 	: 	597287 	725917 	889331 	772838 	663435 	637312 
A,DOM,CST_A,I551,NR,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551,NR,UK	48819000 	49031000 	44052000 	43801953 	45735522 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,CST_A,I551,PCH_PRE,AL	: 	: 	: 	: 	: 	: 	: 	87.26 e	-6.56 e	54.18 e	6.42 e	64.89 e	6.41 
A,DOM,CST_A,I551,PCH_PRE,BE	: 	1.95 	: @C	-13.99 	-1.29 	-2.7 	8.25 	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,CST_A,I551,PCH_PRE,BG	: 	6.33 	0.75 	9.39 	16.67 	-4.65 	0.24 	10.53 	-5.51 	30.15 	4.6 	1.8 	3.24 
A,DOM,CST_A,I551,PCH_PRE,CY	: 	-17.7 	-7.3 	-18.71 	0.39 	-2.41 	10.48 	11.57 	12.26 	50.23 	-20.09 	-9.84 	11.35 
A,DOM,CST_A,I551,PCH_PRE,DE	: 	3.19 	3.65 	3.88 	5.34 	2.22 	2.57 	4.12 	-38.28 	3.18 	42.54 	2.96 	7.1 
A,DOM,CST_A,I551,PCH_PRE,DK	: 	3.33 	6.82 	8.66 	6.17 	3.77 	3.31 	8.25 	-28.31 	32 	28.53 	-0.73 	-1.12 
A,DOM,CST_A,I551,PCH_PRE,EA	: 	1.76 	1.96 	3.53 	2.71 	2.52 e	2.55 e	1.79 	-42.6 	36.64 	27.36 	2.05 	1.15 
A,DOM,CST_A,I551,PCH_PRE,EA19	: 	: 	: 	: 	2.71 	2.52 e	2.55 e	1.79 	-42.6 	36.64 	27.36 	: 	: 
A,DOM,CST_A,I551,PCH_PRE,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.11 	1.15 
A,DOM,CST_A,I551,PCH_PRE,EE	: 	7.26 	8.2 	9.7 	9.73 	7.67 	5.15 	5.29 	-9.38 	20.41 	13.92 	-0.85 	0.89 
A,DOM,CST_A,I551,PCH_PRE,EL	: 	4.43 	-0.24 	2.67 	5.59 	0.54 	19.39 	0.38 	-47.89 	27.98 	36.69 	13.98 	2.39 
A,DOM,CST_A,I551,PCH_PRE,ES	: 	-1.94 	2.92 	4.46 	2.58 	0.74 	-0.33 	2.83 	-58.15 	87 	29.68 	0.4 	0.06 
A,DOM,CST_A,I551,PCH_PRE,EU25	: 	: 	: 	3.18 	3.29 	3.35 e	2.57 e	2.67 e	: 	: 	: 	: 	: 
A,DOM,CST_A,I551,PCH_PRE,EU27_2007	: 	1.57 	0.24 	3.33 	3.48 	3.31 e	2.62 e	2.71 e	: 	: 	: 	: 	: 
A,DOM,CST_A,I551,PCH_PRE,EU27_2020	: 	1.78 	2.17 	4.01 	3.32 	2.58 e	2.76 e	2.6 	-41.01 	36.27 	26.25 	1.18 	1.09 
A,DOM,CST_A,I551,PCH_PRE,EU28	: 	1.56 	0.22 	3.36 	3.47 	3.29 e	2.65 e	2.74 e	: 	: 	: 	: 	: 
A,DOM,CST_A,I551,PCH_PRE,FI	: 	-2.34 	0.03 	3.12 	0.19 	7.95 	0.13 	4.07 	-34.84 	35.9 	24.39 	2.69 	-0.35 
A,DOM,CST_A,I551,PCH_PRE,FR	: 	4.21 	-3.79 	4.64 	2.65 	5.03 	-0.37 	3.21 	-34.71 e	25.58 e	28.84 	-2.43 	-1.86 
A,DOM,CST_A,I551,PCH_PRE,HR	: 	-4.57 	-4.04 	8.96 	1.37 	-2.12 	7.8 	9.56 	-37.07 	71.59 	17.13 	5.99 	10.01 
A,DOM,CST_A,I551,PCH_PRE,IE	: 	: 	5.98 e	-12.83 e	-4.04 e	: 	: 	-9.07 e	-57.09 e	-24.85 e	213.36 	1.66 	10.27 
A,DOM,CST_A,I551,PCH_PRE,IS	: 	11.33 	1.34 	-2.68 	20.51 	: 	: 	: 	24.32 	50.29 	20.87 	0.93 	: 
A,DOM,CST_A,I551,PCH_PRE,IT	: 	-3.97 	-0.06 	4.81 	1.86 	2.16 	0.45 	0.24 	-37.26 	34.06 	15.01 	0.87 	-0.75 
A,DOM,CST_A,I551,PCH_PRE,LT	: 	2.17 	7.68 	12.77 	4.11 	7.66 	10.12 	20.6 	-14.37 	12.05 	15.84 	-2.28 	34.7 
A,DOM,CST_A,I551,PCH_PRE,LV	: 	-4.82 	17.77 	1.85 	6.66 	5.55 	12.71 	1.79 	-13.53 	14.04 	19.57 	-6.18 	7.19 
A,DOM,CST_A,I551,PCH_PRE,ME	: 	: 	: 	: 	2.25 	: 	: 	: 	: 	: 	: 	: 	: 
