NUTS_ID,NUTS_NAME,area_km2
ITF2,Molise,4442.947220141997
LV00,Latvija,64592.30021451312
LT01,Sostinės regionas,9733.739988529196
ITF3,Campania,13603.223197736155
ME00,Црна Гора,13877.546742409388
MK00,Северна Македонија,25436.42664680371
ITF4,Puglia,19365.342776761132
MT00,Malta,313.7507833685232
NL11,Groningen,2401.896422604919
ITF5,Basilicata,9989.305681545897
NL12,Friesland (NL),4011.6535995421395
NL13,Drenthe,2678.003540717251
ITH3,Veneto,17691.31624022228
IS00,Ísland,102700.66578179356
ITF6,Calabria,15086.973350748132
NL21,Overijssel,3421.839876387
NL22,Gelderland,5136.185513802091
ITH4,Friuli-Venezia Giulia,7767.481689643704
ITC1,Piemonte,25398.283161392053
ITG1,Sicilia,25728.025020180787
NL23,Flevoland,2411.892083376879
NL32,Noord-Holland,3411.2964755062553
ITC2,Valle d’Aosta/Vallée d’Aoste,3260.6094561749073
NL34,Zeeland,1931.549213273105
ITH5,Emilia-Romagna,22510.415091217088
ITG2,Sardegna,24112.4248910649
NL35,Utrecht,1561.8062821285357
NL36,Zuid-Holland,3136.515504614124
ITC3,Liguria,5418.222974387274
ITH1,Provincia Autonoma di Bolzano/Bozen,7397.928406064271
NL41,Noord-Brabant,5084.52055295583
ITI1,Toscana,22989.715098934612
ITH2,Provincia Autonoma di Trento,6206.930920159765
NL42,Limburg (NL),2211.8171102085325
ITI2,Umbria,8454.793028004322
HU12,Pest,6388.980101684357
HU23,Dél-Dunántúl,14195.973808739913
IE06,Eastern and Midland,14463.115309182678
HU21,Közép-Dunántúl,11086.225807391476
FRK2,Rhône-Alpes,44962.14939133953
HU31,Észak-Magyarország,13428.348478027647
HU22,Nyugat-Dunántúl,11328.135256779658
HU32,Észak-Alföld,17722.542069642688
FRL0,Provence-Alpes-Côte d’Azur,31845.23652256637
HU33,Dél-Alföld,18335.40467055192
FRJ1,Languedoc-Roussillon,27766.46161744262
FRM0,Corse,8729.70593022833
FRY1,Guadeloupe,1684.0691208548499
FRY2,Martinique ,1108.0251118917356
FRY3,Guyane,83757.2144128753
FRY4,La Réunion ,2505.6458965008874
FRJ2,Midi-Pyrénées,45604.064958733434
FRY5,Mayotte,368.4413403415838
IE04,Northern and Western,25796.072027512535
IE05,Southern,29686.584249069358
HR03,Jadranska Hrvatska,24629.957812622444
HR05,Grad Zagreb,641.944298749379
HR06,Sjeverna Hrvatska,8030.429505496965
HU11,Budapest,526.0908730895737
FRK1,Auvergne,26170.439472733557
HR02,Panonska Hrvatska,23204.727720367973
PL21,Małopolskie,15184.781340460524
PL92,Mazowiecki regionalny,29454.077988327044
PL51,Dolnośląskie,19947.585849751755
PL62,Warmińsko-mazurskie,24012.623761865627
PT11,Norte,21286.40063286242
PT15,Algarve,4968.436395674673
PL52,Opolskie,9412.71047566813
PL63,Pomorskie,18177.04882187954
PL61,Kujawsko-pomorskie,17971.90814538001
PT19,Centro (PT),23222.26702045099
PT1A,Grande Lisboa,1348.6028414739346
PL71,Łódzkie,18220.003598912022
PT1B,Península de Setúbal,1499.884767231741
PL72,Świętokrzyskie,11709.14030899094
PL22,Śląskie,12334.673137289941
PL81,Lubelskie,25123.79159461327
