actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
2732386.0,1662502.75,1568586.9688014258,1069883.25,1163799.0311985742
2732386.0,1685179.75,1588023.7119663912,1047206.25,1144362.2880336088
0.0,2097043.75,1982892.8631813978,-2097043.75,-1982892.8631813978
0.0,2097043.75,2046589.5192829454,-2097043.75,-2046589.5192829454
195741.0,1769428.25,1665680.3823469353,-1573687.25,-1469939.3823469353
2611924.0,1466360.75,1541603.7931758245,1145563.25,1070320.2068241755
2807665.0,1466360.75,1481522.9796609858,1341304.25,1326142.0203390142
2807665.0,1510423.375,1521001.3151090795,1297241.625,1286663.6848909205
0.0,1466360.75,1337737.6502448064,-1466360.75,-1337737.6502448064
0.0,2067493.5,2015360.2528739013,-2067493.5,-2015360.2528739013
85617.0,1586283.375,1584215.3826858657,-1500666.375,-1498598.3826858657
1905173.0,1576668.25,1522933.4820331465,328504.75,382239.51796685345
1990790.0,1576668.25,1492749.1024433037,414121.75,498040.8975566963
1990790.0,2067493.5,2015360.2528739013,-76703.5,-24570.252873901278
0.0,4316457.0,4373602.794908408,-4316457.0,-4373602.794908408
0.0,4316457.0,4361704.411372161,-4316457.0,-4361704.411372161
2684110.0,3191550.75,3416924.993406838,-507440.75,-732814.9934068378
3401416.0,3191550.75,3387671.6637850953,209865.25,13744.336214904673
6085526.0,3191550.75,3458173.7587498105,2893975.25,2627352.2412501895
6085526.0,3191550.75,3387671.6637850953,2893975.25,2697854.3362149047
0.0,3286727.0,3475445.5786365205,-3286727.0,-3475445.5786365205
0.0,3311023.0,3497213.8150510984,-3311023.0,-3497213.8150510984
2658521.0,3482809.25,3651127.3688366497,-824288.25,-992606.3688366497
3252043.0,3400515.25,3575706.460657437,-148472.25,-323663.46065743687
5910564.0,3286727.0,3475445.5786365205,2623837.0,2435118.4213634795
5910564.0,3311023.0,3499001.522680417,2599541.0,2411562.477319583
0.0,3399010.5,3581583.9382668925,-3399010.5,-3581583.9382668925
0.0,3399010.5,3603537.6487733596,-3399010.5,-3603537.6487733596
2777182.0,3369225.5,3554897.7791621755,-592043.5,-777715.7791621755
3288412.0,3369225.5,3578206.9616003404,-80813.5,-289794.96160034044
6066275.0,3022984.25,3244679.5791918547,3043290.75,2821595.4208081453
6066275.0,3399010.5,3582959.458877152,2667264.5,2483315.541122848
0.0,3440326.25,3594915.8727435702,-3440326.25,-3594915.8727435702
0.0,3056387.25,3258570.779857044,-3056387.25,-3258570.779857044
2759543.0,3440326.25,3625338.6190429465,-680783.25,-865795.6190429465
3364564.0,3399010.5,3660882.9601351307,-34446.5,-296318.9601351307
6124107.0,3056387.25,3299528.171625709,3067719.75,2824578.828374291
6124107.0,3440326.25,3694067.989164067,2683780.75,2430039.010835933
0.0,3510409.75,3702546.793464518,-3510409.75,-3702546.793464518
0.0,3092822.0,3436758.672102865,-3092822.0,-3436758.672102865
2799463.0,3092822.0,3362932.63858895,-293359.0,-563469.63858895
3413598.0,3387498.5,3587191.9865884488,26099.5,-173593.98658844875
6213061.0,3306021.0,3486652.5943527,2907040.0,2726408.4056473
6213061.0,3306021.0,3608001.237079664,2907040.0,2605059.762920336
0.0,3748458.75,3985042.333594138,-3748458.75,-3985042.333594138
0.0,3393764.25,3572169.767695849,-3393764.25,-3572169.767695849
3005443.0,3393764.25,3572169.767695849,-388321.25,-566726.7676958488
3485941.0,3748458.75,3882895.571922146,-262517.75,-396954.5719221458
6491384.0,3047759.0,3291574.39207064,3443625.0,3199809.60792936
6491384.0,3348058.0,3576869.8150014533,3143326.0,2914514.1849985467
0.0,3500243.25,3671824.9968555197,-3500243.25,-3671824.9968555197
0.0,3748458.75,3930785.64602062,-3748458.75,-3930785.64602062
3122061.0,3117573.0,3336591.3769805906,4488.0,-214530.37698059063
3578015.0,3117573.0,3496080.9921560083,460442.0,81934.00784399174
6700076.0,3127105.25,3412106.025489615,3572970.75,3287969.974510385
6700076.0,3117573.0,3336591.3769805906,3582503.0,3363484.6230194094
0.0,3190855.5,3408991.5820762785,-3190855.5,-3408991.5820762785
0.0,3403812.75,3649075.2472667634,-3403812.75,-3649075.2472667634
3335129.0,3322282.0,3553091.888725943,12847.0,-217962.88872594293
3596039.0,3748458.75,3934929.073793296,-152419.75,-338890.07379329577
6931168.0,3748458.75,3944475.687573359,3182709.25,2986692.312426641
6931168.0,3190855.5,3577552.498103771,3740312.5,3353615.501896229
0.0,3697939.25,3880080.803391029,-3697939.25,-3880080.803391029
0.0,2956834.0,3216080.3798610345,-2956834.0,-3216080.3798610345
1648671.0,3697939.25,3957101.304817115,-2049268.25,-2308430.304817115
2339086.0,3127105.25,3345268.31783688,-788019.25,-1006182.3178368802
3987757.0,2956834.0,3216080.3798610345,1030923.0,771676.6201389655
3987757.0,2956834.0,3196104.2594912704,1030923.0,791652.7405087296
0.0,5920753.0,5933594.278143311,-5920753.0,-5933594.278143311
12233335.0,4599588.5,4692165.870578644,7633746.5,7541169.129421356
0.0,4599588.5,4756211.607355783,-4599588.5,-4756211.607355783
0.0,6052863.5,6051959.959607258,-6052863.5,-6051959.959607258
12233335.0,5064941.0,5166821.231451156,7168394.0,7066513.768548844
12233335.0,4599588.5,4845045.531161416,7633746.5,7388289.468838584
0.0,5489715.5,5553994.789513578,-5489715.5,-5553994.789513578
12679225.0,5489715.5,5573196.287054429,7189509.5,7106028.712945571
0.0,6691412.5,6530423.755697291,-6691412.5,-6530423.755697291
0.0,6691412.5,6538405.676427383,-6691412.5,-6538405.676427383
12679225.0,5811422.5,5804185.013578197,6867802.5,6875039.986421803
12679225.0,5483574.5,5503216.552954793,7195650.5,7176008.447045207
0.0,6656404.5,6510625.707093034,-6656404.5,-6510625.707093034
13440328.0,5173117.0,5211209.727041715,8267211.0,8229118.272958285
0.0,7779862.0,7613745.550170409,-7779862.0,-7613745.550170409
0.0,6849991.0,6705637.84905188,-6849991.0,-6705637.84905188
13440328.0,5173117.0,5268367.960706498,8267211.0,8171960.039293502
13440328.0,5345477.5,5362204.047447998,8094850.5,8078123.952552002
0.0,5200348.5,5307895.089988666,-5200348.5,-5307895.089988666
14194660.0,6675558.0,6572315.787877146,7519102.0,7622344.212122854
0.0,6244216.5,6161677.214666857,-6244216.5,-6161677.214666857
0.0,6244216.5,6219906.237563524,-6244216.5,-6219906.237563524
14194660.0,5200348.5,5284600.094148561,8994311.5,8910059.905851439
14194660.0,6498157.5,6384139.140214138,7696502.5,7810520.859785862
0.0,7747825.0,7517441.726578757,-7747825.0,-7517441.726578757
14753867.0,5037382.5,5290336.74850229,9716484.5,9463530.25149771
0.0,7213212.5,7134783.046678456,-7213212.5,-7134783.046678456
0.0,7231407.5,7074813.763735633,-7231407.5,-7074813.763735633
14753867.0,7213212.5,7134783.046678456,7540654.5,7619083.953321544
14753867.0,5037382.5,5167257.634161324,9716484.5,9586609.365838677
0.0,6984916.0,6874066.70083201,-6984916.0,-6874066.70083201
15093839.0,6984916.0,6869546.398833242,8108923.0,8224292.601166758
0.0,5553722.0,5647372.244014991,-5553722.0,-5647372.244014991
0.0,6984916.0,6937702.819961123,-6984916.0,-6937702.819961123
15093839.0,5415718.5,5463455.223116127,9678120.5,9630383.776883874
15093839.0,5415718.5,5497465.586689271,9678120.5,9596373.413310729
0.0,6474421.0,6405282.908206564,-6474421.0,-6405282.908206564
15843767.0,5985190.5,5976698.476915599,9858576.5,9867068.523084402
0.0,8979648.0,8546655.975077152,-8979648.0,-8546655.975077152
0.0,5985190.5,6039333.816851051,-5985190.5,-6039333.816851051
15843767.0,5985190.5,5976698.476915599,9858576.5,9867068.523084402
15843767.0,6474421.0,6494973.9442270715,9369346.0,9348793.055772929
0.0,8979648.0,8525773.230365634,-8979648.0,-8525773.230365634
16817937.0,5978628.5,6115338.487588272,10839308.5,10702598.512411729
0.0,8979648.0,8746773.393329062,-8979648.0,-8746773.393329062
0.0,6057360.0,6047106.06143487,-6057360.0,-6047106.06143487
16817937.0,6057360.0,6178576.045008668,10760577.0,10639360.954991333
16817937.0,8979648.0,8617373.952912753,7838289.0,8200563.047087247
0.0,4230203.5,4443592.633619665,-4230203.5,-4443592.633619665
4350844.0,5744243.0,5911933.380162951,-1393399.0,-1561089.3801629506
0.0,4963693.0,5284991.489757083,-4963693.0,-5284991.489757083
0.0,6465435.0,6491198.610866413,-6465435.0,-6491198.610866413
4350844.0,6465435.0,6489651.858077461,-2114591.0,-2138807.858077461
4350844.0,4963693.0,5144151.574503999,-612849.0,-793307.5745039992
0.0,5868637.5,5046707.3780159,-5868637.5,-5046707.3780159
379936.0,6158423.5,5621104.197823472,-5778487.5,-5241168.197823472
1150492.0,6262008.0,5709197.7538239295,-5111516.0,-4558705.7538239295
9358276.0,4389413.0,3858586.4320615428,4968863.0,5499689.567938457
10888704.0,5868637.5,5046707.3780159,5020066.5,5841996.6219841
10888704.0,4478237.5,4098028.371042083,6410466.5,6790675.628957917
0.0,5956305.5,5452782.582960569,-5956305.5,-5452782.582960569
382896.0,4698307.5,4287176.396198555,-4315411.5,-3904280.396198555
1140128.0,4487014.5,4265804.119854279,-3346886.5,-3125676.119854279
9298509.0,4487014.5,4106074.496760577,4811494.5,5192434.503239423
10821533.0,5956305.5,5582229.615812928,4865227.5,5239303.384187072
10821533.0,4698307.5,4107646.6554164225,6123225.5,6713886.3445835775
0.0,6484337.0,5558760.033776725,-6484337.0,-5558760.033776725
387898.0,6484337.0,5920699.912870212,-6096439.0,-5532801.912870212
1106853.0,5831822.5,5034656.934491299,-4724969.5,-3927803.934491299
8972179.0,4132735.0,3906927.0529569034,4839444.0,5065251.947043097
10466930.0,4480671.0,4202829.620431527,5986259.0,6264100.379568473
10466930.0,5831822.5,5351917.952473018,4635107.5,5115012.047526982
0.0,6479679.0,5918783.25847773,-6479679.0,-5918783.25847773
404998.0,6479679.0,5827364.790891428,-6074681.0,-5422366.790891428
1082023.0,6414245.0,6000885.6614040835,-5332222.0,-4918862.6614040835
9058404.0,4159928.5,3981108.9687269568,4898475.5,5077295.031273043
10545425.0,4159928.5,3839077.333322079,6385496.5,6706347.666677921
10545425.0,4907074.0,4650521.212721355,5638351.0,5894903.787278645
0.0,4632583.5,4408106.032881537,-4632583.5,-4408106.032881537
411572.0,6414245.0,6004402.902438304,-6002673.0,-5592830.902438304
1109726.0,5501796.0,4784661.658799293,-4392070.0,-3674935.6587992935
9524354.0,4321671.0,4129540.968498618,5202683.0,5394813.031501383
11045652.0,4321671.0,4031596.468874832,6723981.0,7014055.531125167
11045652.0,4632583.5,4303967.584317864,6413068.5,6741684.415682136
0.0,6396060.5,5771007.246183227,-6396060.5,-5771007.246183227
406459.0,6396060.5,5847536.701546964,-5989601.5,-5441077.701546964
1145751.0,6396060.5,5519606.800004867,-5250309.5,-4373855.800004867
9757982.0,6396060.5,5994213.800006011,3361921.5,3763768.1999939894
11310192.0,5092935.0,4826665.892454774,6217257.0,6483526.107545226
11310192.0,4962051.5,4627982.1142616095,6348140.5,6682209.8857383905
0.0,5801321.0,5063181.700754502,-5801321.0,-5063181.700754502
397273.0,6174336.0,5666760.942659101,-5777063.0,-5269487.942659101
1151831.0,5937758.0,5390639.8667680025,-4785927.0,-4238808.8667680025
9999837.0,5524625.5,5036538.782162451,4475211.5,4963298.217837549
11548941.0,5145173.0,4711305.251016178,6403768.0,6837635.748983822
11548941.0,5524625.5,5116832.076540009,6024315.5,6432108.923459991
0.0,6128567.0,5767766.039220552,-6128567.0,-5767766.039220552
402548.0,6128567.0,5767766.039220552,-5726019.0,-5365218.039220552
1242629.0,5677865.5,5363955.666961546,-4435236.5,-4121326.666961546
9923242.0,5677865.5,5254553.922320425,4245376.5,4668688.077679575
11568419.0,4716311.0,4394299.879199462,6852108.0,7174119.120800538
11568419.0,4716311.0,4352574.464525892,6852108.0,7215844.535474108
0.0,4293710.0,4071351.6310913716,-4293710.0,-4071351.6310913716
270534.0,4787079.0,4452398.884991555,-4516545.0,-4181864.8849915545
1126666.0,4787079.0,4251267.073254588,-3660413.0,-3124601.073254588
8078712.0,4073766.0,3794613.4806850855,4004946.0,4284098.519314915
9475912.0,4293710.0,4119334.639242086,5182202.0,5356577.360757913
9475912.0,3840418.25,3594608.176417653,5635493.75,5881303.8235823475
0.0,5150343.0,4962693.677798882,-5150343.0,-4962693.677798882
920819.0,5150343.0,4978349.473620398,-4229524.0,-4057530.473620398
1209275.0,5150343.0,4978349.473620398,-3941068.0,-3769074.473620398
7332996.0,4271539.5,4230970.036150044,3061456.5,3102025.963849956
