actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
0.0,11352.3798828125,33778.15426234071,-11352.3798828125,-33778.15426234071
0.0,3100.817138671875,15820.778459630577,-3100.817138671875,-15820.778459630577
178588.0,12196.7763671875,33189.69438502213,166391.2236328125,145398.30561497787
2439080.0,11352.3798828125,33098.77250185569,2427727.6201171875,2405981.2274981444
2617668.0,3100.817138671875,15820.778459630577,2614567.182861328,2601847.2215403696
2617668.0,3100.817138671875,16104.727861983438,2614567.182861328,2601563.2721380168
0.0,73103.2109375,93553.47757274727,-73103.2109375,-93553.47757274727
0.0,73103.2109375,95998.72037882733,-73103.2109375,-95998.72037882733
188861.0,9120.7744140625,28801.87579895979,179740.2255859375,160059.12420104022
2360625.0,2208.677001953125,13053.678641017832,2358416.322998047,2347571.321358982
2549486.0,9120.7744140625,29244.238778808736,2540365.2255859375,2520241.7612211914
2549486.0,2208.677001953125,13095.639090374281,2547277.322998047,2536390.360909626
0.0,14988.5771484375,38837.073412306294,-14988.5771484375,-38837.073412306294
0.0,5598.14501953125,22179.203816737605,-5598.14501953125,-22179.203816737605
191943.0,13070.3115234375,36651.457021968796,178872.6884765625,155291.5429780312
2425522.0,7936.744140625,27050.661181742336,2417585.255859375,2398471.3388182577
2617465.0,5598.14501953125,21736.071523562685,2611866.8549804688,2595728.9284764375
2617465.0,14988.5771484375,39631.41530514155,2602476.4228515625,2577833.5846948586
0.0,81705.6875,104454.46737024806,-81705.6875,-104454.46737024806
0.0,24375.9140625,51305.21387901529,-24375.9140625,-51305.21387901529
189002.0,7813.46484375,26858.467056278492,181188.53515625,162143.5329437215
2432948.0,5570.77099609375,22156.733116717507,2427377.2290039062,2410791.2668832825
2621950.0,81705.6875,102090.90635488617,2540244.3125,2519859.093645114
2621950.0,7813.46484375,26394.239334142898,2614136.53515625,2595555.7606658572
0.0,153334.984375,144855.8996640267,-153334.984375,-144855.8996640267
0.0,153334.984375,147839.62533911143,-153334.984375,-147839.62533911143
187738.0,2347.040283203125,12513.864725178482,185390.95971679688,175224.1352748215
2597575.0,2347.040283203125,13784.24373919186,2595227.959716797,2583790.756260808
2785313.0,2347.040283203125,13570.005484815905,2782965.959716797,2771742.9945151843
2785313.0,15755.0087890625,39642.93021568223,2769557.9912109375,2745670.0697843176
0.0,41092.9921875,68003.64854793549,-41092.9921875,-68003.64854793549
0.0,14445.6728515625,37742.990873553186,-14445.6728515625,-37742.990873553186
178532.0,20661.94140625,47746.26684696877,157870.05859375,130785.73315303124
2602514.0,14445.6728515625,37742.990873553186,2588068.3271484375,2564771.0091264467
2781046.0,3460.2216796875,17217.878839129517,2777585.7783203125,2763828.1211608704
2781046.0,14445.6728515625,37742.990873553186,2766600.3271484375,2743303.0091264467
0.0,12400.8984375,35057.18491254959,-12400.8984375,-35057.18491254959
0.0,28937.888671875,55881.958481236215,-28937.888671875,-55881.958481236215
187441.0,16158.10546875,41518.39096232669,171282.89453125,145922.6090376733
2544945.0,12400.8984375,34712.27166061234,2532544.1015625,2510232.7283393876
2732386.0,30726.97265625,57797.7729089375,2701659.02734375,2674588.2270910623
2732386.0,12400.8984375,34712.27166061234,2719985.1015625,2697673.7283393876
0.0,92884.171875,110328.80871654325,-92884.171875,-110328.80871654325
0.0,92884.171875,110908.16262927005,-92884.171875,-110908.16262927005
195741.0,10023.9619140625,30826.164065911722,185717.0380859375,164914.83593408827
2611924.0,12586.4365234375,33219.93798737997,2599337.5634765625,2578704.06201262
2807665.0,12586.4365234375,34902.80703643856,2795078.5634765625,2772762.1929635615
2807665.0,8545.3359375,27898.936390649447,2799119.6640625,2779766.0636093505
0.0,21105.865234375,48364.105373102924,-21105.865234375,-48364.105373102924
0.0,54473.5,81394.42321815489,-54473.5,-81394.42321815489
85617.0,8336.6513671875,27483.108358080255,77280.3486328125,58133.89164191975
1905173.0,2946.784423828125,15479.412833374045,1902226.2155761719,1889693.587166626
1990790.0,2946.784423828125,15482.943259983655,1987843.2155761719,1975307.0567400164
1990790.0,54473.5,81394.42321815489,1936316.5,1909395.5767818452
0.0,409119.625,351325.922080035,-409119.625,-351325.922080035
0.0,409119.625,358529.70500842016,-409119.625,-358529.70500842016
2684110.0,7914.6552734375,34810.161027700226,2676195.3447265625,2649299.8389723
3401416.0,7914.6552734375,36100.69974381052,3393501.3447265625,3365315.3002561894
6085526.0,7914.6552734375,37711.443873434146,6077611.3447265625,6047814.556126566
6085526.0,7914.6552734375,36100.69974381052,6077611.3447265625,6049425.30025619
0.0,131091.0625,183325.6012925291,-131091.0625,-183325.6012925291
0.0,10611.0947265625,42823.73318893309,-10611.0947265625,-42823.73318893309
2658521.0,20808.30078125,63220.42456074653,2637712.69921875,2595300.5754392534
3252043.0,19809.486328125,62129.16775301006,3232233.513671875,3189913.83224699
5910564.0,131091.0625,183325.6012925291,5779472.9375,5727238.398707471
5910564.0,10611.0947265625,43748.06392986259,5899952.9052734375,5866815.936070138
0.0,84647.1171875,142667.4968030794,-84647.1171875,-142667.4968030794
0.0,84647.1171875,139381.45523821388,-84647.1171875,-139381.45523821388
2777182.0,11064.541015625,43972.311777888055,2766117.458984375,2733209.688222112
3288412.0,11064.541015625,42306.005315457296,3277347.458984375,3246105.9946845425
6066275.0,22125.892578125,65654.422544339,6044149.107421875,6000620.577455661
6066275.0,84647.1171875,140850.5411975125,5981627.8828125,5925424.458802488
0.0,55551.94140625,112947.8257304583,-55551.94140625,-112947.8257304583
0.0,31517.34375,81818.19246993103,-31517.34375,-81818.19246993103
2759543.0,55551.94140625,112186.6335065034,2703991.05859375,2647356.3664934966
3364564.0,48042.1015625,106259.15698803695,3316521.8984375,3258304.843011963
6124107.0,31517.34375,81126.33051065056,6092589.65625,6042980.669489349
6124107.0,55551.94140625,115444.28750451149,6068555.05859375,6008662.712495488
0.0,84150.2578125,141575.9097386334,-84150.2578125,-141575.9097386334
0.0,28466.4453125,79186.0074674242,-28466.4453125,-79186.0074674242
2799463.0,28466.4453125,73625.5713358284,2770996.5546875,2725837.4286641716
3413598.0,23768.318359375,68980.29033922483,3389829.681640625,3344617.709660775
6213061.0,25968.61328125,73661.71185650272,6187092.38671875,6139399.288143497
6213061.0,25968.61328125,75141.81472894934,6187092.38671875,6137919.185271051
0.0,51970.953125,112063.58536692074,-51970.953125,-112063.58536692074
0.0,45262.4375,101473.02317262863,-45262.4375,-101473.02317262863
3005443.0,45262.4375,101473.02317262863,2960180.5625,2903969.9768273714
3485941.0,51970.953125,109773.12389774741,3433970.046875,3376167.8761022524
6491384.0,18071.0546875,59092.152840498595,6473312.9453125,6432291.847159501
6491384.0,22594.435546875,67896.71633780557,6468789.564453125,6423487.283662194
0.0,93276.0,153503.34878233366,-93276.0,-153503.34878233366
0.0,59615.83203125,117385.5830207854,-59615.83203125,-117385.5830207854
3122061.0,27654.900390625,76869.35299960156,3094406.099609375,3045191.6470003985
3578015.0,27654.900390625,78329.19963791367,3550360.099609375,3499685.8003620864
6700076.0,19375.08203125,58500.77168626212,6680700.91796875,6641575.228313738
6700076.0,27654.900390625,76869.35299960156,6672421.099609375,6623206.6470003985
0.0,74504.90625,135543.90345995137,-74504.90625,-135543.90345995137
0.0,101352.921875,158652.49738385115,-101352.921875,-158652.49738385115
3335129.0,24508.107421875,70835.31494832462,3310620.892578125,3264293.6850516754
3596039.0,33417.44921875,84750.72243019016,3562621.55078125,3511288.27756981
6931168.0,33417.44921875,85051.0954555351,6897750.55078125,6846116.904544465
6931168.0,74504.90625,138280.29208373287,6856663.09375,6792887.707916267
0.0,64623.76953125,124038.01554918729,-64623.76953125,-124038.01554918729
0.0,39490.0703125,93287.71006252707,-39490.0703125,-93287.71006252707
1648671.0,64623.76953125,127477.7076817962,1584047.23046875,1521193.2923182037
2339086.0,22039.1875,67692.05683776403,2317046.8125,2271393.943162236
3987757.0,39490.0703125,93287.71006252707,3948266.9296875,3894469.289937473
3987757.0,39490.0703125,94325.22492135027,3948266.9296875,3893431.7750786496
0.0,5259.11572265625,29578.353043111747,-5259.11572265625,-29578.353043111747
12233335.0,2602.443115234375,20518.31211907186,12230732.556884766,12212816.687880928
0.0,2602.443115234375,20635.51256668851,-2602.443115234375,-20635.51256668851
0.0,4979.17724609375,28657.29505068009,-4979.17724609375,-28657.29505068009
12233335.0,1326.5787353515625,13337.800514148457,12232008.421264648,12219997.199485851
12233335.0,2602.443115234375,20700.587075609925,12230732.556884766,12212634.41292439
0.0,2444.458984375,19096.538941313294,-2444.458984375,-19096.538941313294
12679225.0,2444.458984375,20087.6524907277,12676780.541015625,12659137.347509272
0.0,13594.734375,46546.38665935316,-13594.734375,-46546.38665935316
0.0,13594.734375,53485.48806606111,-13594.734375,-53485.48806606111
12679225.0,5431.30419921875,31378.86762945604,12673793.695800781,12647846.132370545
12679225.0,3908.989013671875,22424.824289548054,12675316.010986328,12656800.175710453
